tag,s0,sigma0,kc,sigma8,pk_ratio_min,pk_ratio_max,pk_ratio_mean,TT_mean,phiphi_min,phiphi_max,phiphi_mean,status
scan_0,0.0,0.0,0.03,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OK
scan_1,0.0,0.0,0.05,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OK
scan_2,0.0,0.0,0.08,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OK
scan_3,0.0,0.03,0.03,,1.0,1.0,1.0,1.0,0.9849869627744491,0.9978969092969286,0.985992457340476,OK
scan_4,0.0,0.03,0.05,,1.0,1.0,1.0,1.0,0.9859338731827104,0.9989976687241623,0.9868772105529849,OK
scan_5,0.0,0.03,0.08,,1.0,1.0,1.0,1.0,0.986539185509263,0.9995225787365591,0.9880624460275649,OK
scan_6,0.0,0.06,0.03,,1.0,1.0,1.0,1.0,0.9701379920110211,0.9958129899203165,0.9721316302524236,OK
scan_7,0.0,0.06,0.05,,1.0,1.0,1.0,1.0,0.9720137114138081,0.998002477366056,0.9738885375680622,OK
scan_8,0.0,0.06,0.08,,1.0,1.0,1.0,1.0,0.9732127865332798,0.9990477010226131,0.9762431154655488,OK
scan_9,0.03,0.0,0.03,,0.9792472538030937,1.0000056299746645,0.9907992448665696,1.0000030435701168,0.993727920934194,0.9992496477041872,0.9941461756111053,OK
scan_10,0.03,0.0,0.05,,0.9792567488884316,1.0000021768239935,0.9927207301205876,1.0000017134054129,0.9941120992015191,0.9996435222379936,0.9945170678926804,OK
scan_11,0.03,0.0,0.08,,0.9792629248075111,1.0000007951967096,0.9941121520984854,1.0000008380335184,0.9943567787109688,0.9998305883577121,0.9950147157526991,OK
scan_12,0.03,0.03,0.03,,0.9792472538030937,1.0000056299746645,0.9907992448665696,1.0000030435701168,0.9788486941085061,0.9971598978527874,0.9802582964866339,OK
scan_13,0.03,0.03,0.05,,0.9792567488884316,1.0000021768239935,0.9927207301205876,1.0000017134054129,0.9801653723277461,0.9986461524319472,0.981503654304903,OK
scan_14,0.03,0.03,0.08,,0.9792629248075111,1.0000007951967096,0.9941121520984854,1.0000008380335184,0.9810062837135654,0.999354935845601,0.9831735174575967,OK
scan_15,0.03,0.06,0.03,,0.9792472538030937,1.0000056299746645,0.9907992448665696,1.0000030435701168,0.964131574269832,0.9950891056080701,0.9665155904893791,OK
scan_16,0.03,0.06,0.05,,0.9792567488884316,1.0000021768239935,0.9927207301205876,1.0000017134054129,0.9663629984049998,0.9976558501074642,0.9686229660821811,OK
